"Layer 20 | MC1: 0.254278728606357, MC2: 0.5015487122158352 | alpha: 15.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.26405867970660146, MC2: nan | alpha: 20.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.2616136919315403, MC2: nan | alpha: 19.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.2616136919315403, MC2: nan | alpha: 19.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.2885085574572127, MC2: 0.514095941106561 | alpha: 10.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.3202933985330073, MC2: 0.5242001183383247 | alpha: 5.0 | gemma-2 | TruthFlow",
"Layer 20 | MC1: 0.31784841075794623, MC2: 0.5258937035328267 | alpha: 2.5 | gemma-2 | TruthFlow",
"MC1: 0.3056234718826406, MC2: 0.48803020956104914 | gemma-2 | Base",
